State,avg
Alabama,5.0857142858
Alaska,0.0
Arizona,2.657142858
Arkansas,0.0
California,19.214285714
Colorado,0.0
Connecticut,10.500000001
Delaware,0.0
District of Columbia,7.142857144999999
Florida,28.671428569
Georgia,0.35714285710000004
Hawaii,0.0
Idaho,0.0
Illinois,3.7714285721000005
Indiana,12.714285713699999
Iowa,0.0
Kansas,0.0
Kentucky,1.5
Louisiana,0.0
Maine,0.0
Maryland,5.799999999000001
Massachusetts,9.8428571427
Michigan,17.399999999800002
Minnesota,5.52857143
Mississippi,0.0
Missouri,1.7714285716
Montana,0.0
Nebraska,0.0
Nevada,8.442857145
New Hampshire,0.0
New Jersey,7.171428571599999
New Mexico,0.0
New York,17.8714285711
North Carolina,3.8571428572000004
North Dakota,0.0
Ohio,8.042857144
Oklahoma,0.0
Oregon,0.0
Pennsylvania,4.7142857149
Rhode Island,0.0
South Carolina,0.0
South Dakota,0.0
Tennessee,1.6285714285000001
Texas,21.271428571500003
Utah,0.0
Vermont,0.0
Virginia,0.0
Washington,5.5999999993000005
West Virginia,0.0
Wisconsin,0.0
Wyoming,0.0
